OrderID,OrderDate,Category,Region,Sales,Quantity,Discount,SubCategory,Profit
O1,2023-05-11,Technology,West,175.48,1,0.05,Machines,41.95
O2,2031-05-01,Furniture,East,1129.87,5,0.17,Bookcases,231.03
O3,2029-06-20,Furniture,East,677.51,7,0.1,Tables,181.87
O4,2022-04-12,Technology,West,326.78,9,0.13,Machines,46.1
O5,2033-02-13,Furniture,West,1701.09,1,0.24,Tables,345.62
O6,2030-06-07,Technology,Central,1052.77,3,0.27,Phones,90.32
O7,2029-09-07,Furniture,West,1867.89,8,0.24,Bookcases,249.85
O8,2028-12-29,Office Supplies,Central,1615.91,6,0.07,Paper,381.22
O9,2021-05-11,Technology,South,1392.08,5,0.29,Phones,263.54
O10,2025-08-13,Office Supplies,South,29.95,2,0.11,Binders,4.44
O11,2023-02-09,Office Supplies,East,867.09,3,0.05,Binders,224.47
O12,2027-07-20,Technology,South,411.02,2,0.15,Machines,90.99
O13,2027-08-31,Office Supplies,South,1823.38,1,0.22,Storage,250.69
O14,2024-03-30,Technology,Central,365.68,7,0.02,Phones,85.41
O15,2033-06-22,Office Supplies,East,586.4,3,0.19,Art,104.71
O16,2030-04-09,Technology,West,1043.34,7,0.26,Accessories,102.32
O17,2032-04-10,Technology,East,541.46,7,0.08,Copiers,124.65
O18,2034-04-06,Furniture,South,435.53,8,0.21,Tables,91.35
O19,2028-12-14,Technology,West,1206.22,1,0.12,Accessories,321.83
O20,2022-04-20,Technology,East,196.08,5,0.12,Machines,38.78
O21,2023-12-19,Office Supplies,East,135.17,9,0.08,Paper,34.14
O22,2028-01-03,Technology,East,757.05,7,0.19,Copiers,79.49
O23,2026-08-10,Furniture,East,1446.92,1,0.11,Tables,329.25
O24,2028-07-10,Office Supplies,Central,1118.52,8,0.25,Art,247.51
O25,2023-09-03,Office Supplies,East,857.3,3,0.29,Binders,87.31
O26,2025-12-12,Furniture,South,1140.19,4,0.28,Furnishings,170.14
O27,2021-07-09,Office Supplies,South,743.59,4,0.05,Binders,215.15
O28,2028-06-27,Office Supplies,Central,1873.57,8,0.0,Paper,545.85
O29,2029-03-25,Office Supplies,West,128.71,1,0.13,Binders,25.46
O30,2033-10-03,Office Supplies,West,1353.32,8,0.22,Art,152.77
O31,2026-03-15,Furniture,South,1784.74,9,0.29,Furnishings,222.3
O32,2024-06-21,Furniture,South,1611.69,9,0.24,Bookcases,200.2
O33,2025-03-09,Office Supplies,Central,384.4,5,0.17,Storage,84.33
O34,2029-10-08,Office Supplies,West,605.93,4,0.01,Binders,158.32
O35,2030-09-27,Furniture,West,1439.75,4,0.25,Chairs,291.52
O36,2031-08-27,Furniture,East,186.86,9,0.05,Bookcases,38.12
O37,2022-10-09,Furniture,East,1627.49,8,0.02,Tables,411.2
O38,2028-11-28,Office Supplies,East,1443.44,7,0.26,Storage,221.75
O39,2027-09-02,Office Supplies,Central,1464.62,3,0.17,Paper,196.12
O40,2022-08-24,Technology,South,218.48,4,0.04,Phones,58.59
O41,2027-06-22,Furniture,Central,1441.17,9,0.12,Chairs,264.65
O42,2026-08-24,Office Supplies,West,1366.04,8,0.03,Art,299.75
O43,2021-08-30,Furniture,South,1665.23,1,0.19,Furnishings,210.3
O44,2026-08-04,Office Supplies,East,102.36,3,0.08,Paper,21.75
O45,2028-09-25,Furniture,Central,65.76,2,0.26,Tables,13.77
O46,2028-02-26,Office Supplies,Central,758.55,2,0.11,Storage,113.52
O47,2024-09-25,Technology,East,314.6,8,0.15,Accessories,79.54
O48,2025-01-18,Technology,Central,1125.6,6,0.02,Phones,280.95
O49,2028-01-01,Furniture,East,1836.35,6,0.08,Chairs,448.51
O50,2023-02-15,Office Supplies,West,795.13,4,0.2,Binders,140.68
O51,2031-12-29,Office Supplies,South,1693.0,1,0.22,Art,387.46
O52,2021-02-04,Furniture,West,20.48,7,0.07,Tables,5.75
O53,2029-08-19,Office Supplies,West,353.66,8,0.15,Paper,96.45
O54,2026-05-10,Furniture,East,80.24,2,0.25,Furnishings,15.58
O55,2025-05-05,Office Supplies,Central,669.73,2,0.11,Art,126.84
O56,2031-10-19,Furniture,West,1818.22,1,0.04,Furnishings,589.89
O57,2029-06-01,Office Supplies,West,211.97,4,0.13,Binders,59.89
O58,2023-10-19,Furniture,West,1220.69,6,0.18,Tables,156.81
O59,2030-06-24,Office Supplies,Central,913.96,5,0.0,Storage,306.32
O60,2028-02-27,Technology,Central,1878.17,4,0.1,Copiers,468.85
O61,2031-07-11,Office Supplies,East,262.59,4,0.18,Paper,65.2
O62,2025-02-09,Furniture,West,439.82,7,0.29,Tables,84.6
O63,2034-02-20,Technology,South,78.49,7,0.12,Machines,21.48
O64,2021-06-11,Office Supplies,Central,879.19,2,0.05,Art,270.61
O65,2032-10-07,Technology,East,570.11,7,0.16,Phones,78.47
O66,2026-06-05,Office Supplies,West,1742.41,2,0.09,Art,307.58
O67,2023-09-23,Technology,South,1217.78,4,0.06,Accessories,228.54
O68,2034-06-13,Furniture,Central,1235.9,1,0.18,Chairs,152.82
O69,2030-02-25,Office Supplies,South,1073.18,5,0.27,Storage,126.63
O70,2033-06-18,Office Supplies,Central,201.86,1,0.25,Paper,35.85
O71,2031-05-27,Furniture,East,901.14,4,0.05,Bookcases,205.64
O72,2024-06-29,Technology,South,1999.02,9,0.23,Accessories,385.9
O73,2023-10-14,Furniture,West,1673.75,8,0.07,Tables,482.11
O74,2021-12-04,Furniture,West,1789.05,6,0.09,Chairs,456.09
O75,2023-05-29,Technology,Central,1649.99,8,0.28,Phones,214.11
